oid	name
1	The Messersmith Group
2	Milberg Weiss Bershad Hynes & Lerach
4	International Brotherhood Of Electrical Workers (Ibew) Local 569
6	Sankyo Pharma
7	American College Of Obstetricians And Gynecologists District Ix The
8	California State Association Of Counties
9	Associated General Contractors Of California
10	California Association Of Harbor Masters And Port Captains
11	California Marine Affairs And Navigation Conference
12	Central California Chamber Alliance
13	California Mining Association
14	California Marine Parks And Harbors Association
15	Lennox International Inc.
16	Marina Recreation Association
17	Nissan North America
18	The First American Corporation
19	Ncma Inc.
20	Turlock Irrigation District
21	Ust Public Affairs Inc.
22	Western Boaters Safety Group
23	Western Marine Association Inc.
24	Planning And Conservation League
25	California Newspaper Publishers Association
26	United Farm Workers Of America Afl-Cio
27	American Cancer Society California Division Inc.
28	California Faculty Association
29	Union Of American Physicians And Dentists
30	Casino Morongo Of The Morongo Band Of Mission Indians
31	Pharmacia
32	California Children'S Lobby The
33	3M
34	Allen Group, The
35	3M Traffic Control Materials Division
36	Apple Valley, Town Of
37	California Association Of Highway Patrolmen
38	California Association Of Competitive Telecommunication Companies (Caltel)
39	California Association Of Professional Scientists
40	California Athletic Trainers Association
41	Cdf Firefighters
42	California Self Insurers' Security Fund
43	American International Group Inc. And Its Subsidiaries
44	California Rural Legal Assistance Foundation, Inc.
45	Ford Motor Company
46	Waste Management, Inc. & Affiliated Entities
47	Clean Power Campaign
48	Barona Band Of Mission Indians
49	Council Of Uc Faculty Associations
50	California Healthcare Association And Affiliated Entities
51	S.C. Johnson & Son
52	Trw
53	Pharmaceutical Research And Manufacturers Of America
54	Qwest
55	California Association Of Small Employer Health Plans
56	Insurance Brokers And Agents Of The West
57	Liberty Mutual Group
58	International Franchise Association (Ifa)
59	Insurance Services Office, Inc.
60	Insurance Agents And Brokers Legislative Council
61	California Insurance Wholesalers Association (Ciwa)
62	Driving School Association Of California Inc.
63	American Heart Association
64	Government Affairs Consulting
65	California Squid Fishermen's Association
66	California Nurses Association
67	Protection And Advocacy Inc
68	Alliance Of Automobile Manufacturers Inc.
69	Automated Power Exchange
70	Fpl Energy Inc.
71	Kaiser Foundation Health Plan Inc.
72	Molina Health Care Of California
73	Pacific Gas & Electric Company
74	Runyon Saltzman & Einhorn Inc.
75	Stocker Resources LP A Limited Partnership By Stocker Resources Inc. General Partner
76	Word & Brown
77	Hotel Employees And Restaurant Employees International Union (Hereiu)
78	Shapell Industries Inc.
79	Viejas Band Of Kumeyaay Mission Indians
80	Long-Term Care Pharmacy Alliance
82	California Dvbe Alliance
83	National Audubon Society
84	Japan Government Of
85	City Of Chula Vista
86	Compline LLC
87	Associated General Contractors-San Diego Chapter
88	California Business Roundtable
89	California Chamber Of Commerce
90	Tejon Ranchcorp
91	Ttx Company
92	California Operators Association
93	California Surety Federation
94	Caterpillar Inc.
95	Check Into Cash Inc.
96	Check'N'Go Of California Inc.
97	Experian
98	Pactiv
99	California State Council Of Service Employees E00789
100	Vernon Property Association
101	Cabazon Band Of Mission Indians
102	City Of Pittsburg
103	New York Mercantile Exchange
104	Alliance Of Catholic Health Care Inc.
105	Los Angeles County / District Attorney'S Office
106	Association Of California Urban School Districts
107	California Independent Public Employees Legislative Council Inc.
108	Tahoe Sierra Board Of Realtorsinc.
109	Alameda Corridor Transportation Authority
110	County Health Executives Association Of California
111	California Health Information Association
112	California Employment Law Council
113	Capitol Communications
114	Berkeley Property Owners Association
115	Santa Barbara Rental Property Association
116	Computer Software Industry Association
117	Internet Alliance
118	California Children'S Hospital Association
119	I-5 Consortium Cities Joint Powers Authority
120	City Of Vallejo
121	San Bernardino Associated Governments
122	University Of Southern California The
123	Town Of Colma
124	City Of Burlingame
125	Bay Area Addiction Research & Treatment, Inc./California Detoxification Programs, Inc.
126	Clean Beaches Coalition
127	California Dental Hygienists Association
128	California Funeral Directors Association
129	Hearst Corporation
130	California School Nurses Organization
131	County Welfare Directors Association Of California (Cwda)
132	Housing California
133	Test U
134	California Continuing Care Residents Association
136	The Enterprise Foundation
137	Youthbuild
138	Association Of California Car Clubs
139	California Automatic Vendors Council
140	California Drug And Alcohol Testing Alliance
141	California Dump Truck Owners Association
142	California Financial Service Providers
143	California Moving And Storage Association
144	Carroll Shelby Enterprises Inc.
145	Chg Safety Technologies
146	Cities Of Contra Costa County
147	California Optometric Association
148	Conference Of Delegates Of California Bar Associations
149	California Public Securities Association
150	California Small Business Association/California Small Business Roundtable
151	California Society For Clinical Social Work
152	California Society Of Enrolled Agents
153	Consumer Attorneys Of California
154	California Society For Respiratory Care
155	Coalition For Public Access
156	Pro-Elite Senior Services
157	Public Policy Advocates, LLC
158	Surplus Line Association Of California, The
159	Nationwide Insurance Enterprise
160	City Of Berkeley Rent Stabilization Board
161	Western Manufactured Housing Communities Association
162	Care 1St Healthplan Inc.
163	Communications Workers Of America Local 9509
164	North County Transit District
165	American Subcontractors Association-California
166	California Aviation Business Association
167	City Of Palm Springs
168	O'Melveny & Myers LLP
169	Orange County Children & Families Commission
170	Regional Council Of Rural Counties (Rcrc) And Its Joint Powers Authorities
171	Wareham Property Group
172	The Nature Conservancy
173	Malibucity Of
174	Knauf Fiber Glass
175	E & J Gallo Winery
176	Microsoft Corporation
177	Sierra Grain Terminal LLC
178	Perkin Elmer Life Sciences
180	Sng Development Company
181	California Coalition For Rural Housing
182	Local Initiative Support Corporation
183	Corporation For Supportive Housing
184	Rural Community Assistance Corporation
185	Santa Monica Rent Control Board
186	City Of West Hollywood Department Of Rent Stabilization And Housing
187	Western Center On Law And Poverty Inc.
188	United Parcel Service
189	Target Corporation
190	Personal Insurance Federation Of California
191	Pebble Beach Company
192	Laaco
193	National Association Of Computer Consultant Businesses
194	California Applicants' Attorneys Association
195	Akt Development Corporation
196	Access Dental/Premier Life Insurance
197	Alliance Of California Tribes
198	California Academy Of Opthalmology
199	California Alliance Of Boys & Girls Clubs, Inc.
200	California Association Of Health Plans
201	Headlands Reserve LLC
202	Contra Costa County
203	California Recreation Vehicle Dealers Association
204	El Paso Corporation
205	Transportation California
206	Global Portable Buildings
207	Contra Costa Transportation Authority
208	Community Associations Institute/California Legislative Action Committee
209	Santa Clara Valley Transportation Authority
210	Irvine Company The
211	Pacificorp
212	California Large Energy Consumers Association
213	Milk Producers Council
214	State Building & Construction Trades Council Of California
215	City Of San Mateo
216	City Of San Carlos
217	California Speedway Corporation
218	Equiva Services LLC
219	National Academy Of Recording Arts And Sciences
220	City Of Huntington Beach
221	Calnet Neighborworks
222	Hesperia City Of
223	Wackenhut Corrections Corporation
224	Port Of Oakland
225	Playa Capitol Company LLC
226	Association Of California Care Operators Inc - Acco
227	Aids Healthcare Foundation
228	California Rifle And Pistol Association, Inc.
229	Conocophillips
230	California School Employees Association
231	California Municipal Utilities Association
232	Construction Industry Legislative Council
233	California Pilots Pac
234	Madera Disposal Systemsinc.
235	Zanker Road Landfill
236	Jewish Public Affairs Committee Of California
237	California Correctional Supervisors Organization, Inc.
238	General Motors Corporation
239	Sacramento Area Council Of Governments
240	Norwood & Associates
241	Burlington Northern Santa Fe Railway Company
242	California Federation Of Teachers
243	Riverside County Sheriff'S Department
244	Omni Loan Company, Ltd.
245	Oberthur Gaming Technologies
246	University Of California Student Association
247	California Primary Care Association
248	Distilled Spirits Council Of The United States
249	Hollister Ranch Owners' Association
250	Northland Cranberries, Inc.
251	California National Organization For Women
252	St. Agnes Medical Center
253	California Forestry Association
254	Napa Valley Vintners Association
255	Delaware North Companies Inc.
256	California Nurse Midwives Association
257	Lytton Band Of Pomo Indians
258	Best Buddies
259	Hilmar Cheese Company
260	Santa Ana Unified School District
261	Pacific Life Insurance Company
262	U.C. Committee Of Merced
263	Cadiz Inc.
264	City Of Clovis
265	Dynegy Inc.
266	Deposition Reporters Association Of California
268	City Of Oakland
269	Pacific Merchant Shipping Association
270	The Prudential Insurance Company Of America
271	Sgi
272	7-Eleven Inc.
273	Specialty Equipment Market Association
274	Natural Resources Defense Council
275	Mt No. I LLC
276	Computer Technology Industry Association
277	Elevator Industry Work Preservation Fund
278	California State Conference Of Branches Of Naacp
279	Matson Navigation Company, Inc.
280	Modesto, City Of
281	Orange County Employees Association
282	Catalina Marketing Corporation
283	Calpine Corporation
284	Farmers Group, Inc.
285	Household (Aka Household International, Inc.)
286	Pardee Homes
287	Shea Homes
288	Dmb San Juan Investment North, LLC
289	Pfizer Inc.
290	Valero Energy Corporation
291	Western States Petroleum Association
292	Merck & Co., Inc. Including Merck Human Health Division And Medco Health Solutions Inc. ('Medco Health') And Medco Cal
293	1-800 Contacts, Inc.
294	California Coalition Of Nurse Practitioners
295	Hacienda La Puente Unified School District Adult Education Division
296	Recording Artists Coalition
297	CH2M Hill
298	Santa Clara Government Attorneys Association
299	Community Conservancy International
300	Price Consulting
301	California Retailers Association
302	California Coalition On Workers' Compensation (Formerly CAs For Compensation Reform)
303	California Association Of Health Facilities
304	Bp Amoco
305	Ahmanson Land Company
306	Pacific Telesis Group And It'S Subsidiaries
307	Gateway
308	Rite Aid
309	Sutter Health
310	Caremark Rx. Inc. (Formerly Med Partners)
311	Fireman's Fund Insurance Company
312	Nestor Traffic Systems
313	City Of Martinez
314	Addus Healthcare, Inc.
315	Air Transport Association Of America
316	Alara, Inc.
317	Aon Corporation
318	Apple Computer, Inc.
319	California Professional Firefighters
320	California Association Of Rehabilitation & Reemployment Professionals
321	Cec Entertainment, Inc.
322	Cisco Systems
323	City National Bank
324	Tustin, City Of
325	Inland Empire Utilities Agency
326	Tamco
327	Southern California Regional Rail Authority
328	Resource Landowners Coalition
329	San Diego Metropolitan Transit Development Board
330	California Land Title Association
331	City Of Hayward
332	The Newhall Land & Farming Company
333	San Joaquin Council Of Governments
334	California Earthquake Authority
335	City Of Redwood
336	The Procter & Gamble Distributing Company
337	Aids Project Los Angeles
338	Churchill Downs California Company
339	Thoroughbred Owners Of California
340	Los Angeles Turf Club At Santa Anita
341	Del Mar Thoroughbred Club
342	Oak Tree Racing Association
343	Entergy Nuclear
344	Lennar Communities
345	Brillstein-Grey Management
346	The Airport Working Group Of Orange County Inc.
347	California Prosecutors Association
348	Caliber Holdings Corporation Dba Caliber Collision Centers
349	Working Rx
350	VeriSign Inc.
351	CALTIA/California Travel Industry Association
352	San Diego Unified Port District
353	Vernon, City Of
354	Consulting Engineers And Land Surveyors Of California, Including Infrastructure Delivery Council, A Division Thereof
355	Cooperative Of American Physicians/Mutual Protection Trust
356	Costco Wholesale Corporation
357	County Of San Diego
358	Directors Guild Of America, Inc.
359	Dollar Financial Group
360	Eastwest Bank
361	Edvoice
362	Fannie Mae
363	Genentech, Inc.
364	Health Net Of California And Affiliated Entities
365	Lexmark International, Inc.
366	Los Angeles County Metropolitan Transportation Authority
367	Mandalay Resort Group
368	Marin, County Of
370	Universal Care
371	Automobile Club Of Southern California/Interinsurance Exchange Of The Automobile Club/Acsc Management Services Inc.
372	California Alliance For Pride & Equality (Cape)
373	The McGraw-Hill Companies, Inc., School Education Group
374	California Futures Network
375	California Aquaculture Association (Caa)
376	Bankamerica Corporation/Bank Of America Nt&Sa
377	City Of Santee
378	California Association Of Local Housing Finance Agencies
379	California Housing Authorities Association
380	Urban Counties Caucus
381	California Public Interest Research Group (Calpirg)
382	Committee On Moral Concerns
383	National Council Of La Raza
384	Professional Engineers In California Government
385	Mbia Insurance Corporation
386	Merrill Lynch & Co., Inc. And Its Subsidiaries
387	Motion Picture Association Of America
388	Nestle Usa, Inc.
389	Oracle Corporation
390	Nielsen, Merksamer, Parrinello, Mueller & Naylor, LLP
391	Orange County Fire Authority
392	Perot Systems Corporation
393	Philip Morris Incorporated By Its Service Corporation Philip Morris Management Corp.
394	Philips Lighting Company
395	R.J. Reynolds Tobacco Company
396	Schlumberger
397	Stewart Title Guaranty Company
398	T-Mobile Usa, Inc
399	Merck & Co. Inc.; Merck Human Health Division; Merck Medco Managed Care; Medco Cal
400	21St Century Insurance Group
401	California Hiv/Aids Advocacy Coalition Southern California Chapter
402	El Morro Community Association
403	Western Health Advantage
404	Auto Nation
405	24 Hour Fitness
406	Good Samaritan Hospital
407	California Commerce Club
408	Gtech
409	California Association For Local Economic Development
410	Oakland Unified School District
411	Alameda-Contra Costa Transit District
412	California Independent Grocers And Convenience Stores
413	Orrick Herrington & Sutcliffe LLP
414	County Of Del Norte
415	Investment Company Institute
416	Morgan Stanley Dean Witter & Company And Its Subsidiary Dean Witter Reynolds
417	Securities Industry Association
418	National Association Of Securities Dealers (Nasdaq)
419	HemaCare Corporation
420	Peace Officers Research Association Of California
421	Questar Regulated Services
422	Retired Public Employees Association
423	Redlands, City Of
424	Southern California Marine Association
425	San Francisco Police Officers Association
426	Shield Health Care
427	San Bernardino County Safety Employees Association
428	California Steel Industries Inc.
429	Magna Entertainment Corp. And Its Affiliated Entities
430	Small Ventures U.S.A., LLC
431	United Services Automobile Association (Usaa)
432	Constellation Energy Group
433	California State Council Of Laborers
434	Washington Mutual
435	Western Hub Properties, L.L.C.
436	Zions Bancorporation
437	Brown & Williamson Tobacco Corporation
438	San Bernardino, County Of
439	Association Of Regional Center Agencies
440	Blood Centers Of California
441	California Physical Therapy Association
442	California Council Of The Alzheimer'S Association
443	Noveon
444	St. Anne'S
445	La Inc. The Convention & Visitors Bureau
446	Public Health Institute
447	Los Angeles County - Chief Administrative Office
448	Lend Lease Development
449	American Federation Of State County And Municipal Employees Afl-Cio
450	California State Automobile Association And California State Automobile Association Inter-Insurance Bureau
451	Association Of California School Administrators
452	Gabriel R. Roberson & Associates
453	ChevronTexaco Corporation And Its Subsidiaries
454	Geosyntec Consultants
455	Imc Chemicals Inc.
456	El Dorado County Transportation Commission
457	Center For Public Interest Law/Children'S Advocacy Institute/University Of San Diego
458	Apartment Association California Southern Cities
459	California Housing Council Inc.
460	Long Beach Unified School District
461	Environmental Defense Fund
462	California Date Commission
463	California Forest Products Commission
464	California Grape & Tree Fruit League
465	Fisher Scientific Company, L.L.C.
467	American Land Conservancy
468	At&T
469	Ibm Corporation
470	Mutual Benefits Corporation
471	Independent Energy Producers
472	Agua Dulce Vineyards LLC
473	The Chadmar Group
474	Aquarium Of The Pacific
475	Association Of Bay Area Governments
476	Bob Hope Airport
477	California Association Of Bioanalysts
478	California Clinical Laboratory Association
479	California Dialysis Council
480	California Investor'S Mutual
481	Escondido City Of
482	Long Beachcity Of
483	Long Beach Water Department
484	Los Angeles Lakersinc.
485	Redondo Beach City Of
486	Medical Transcription Industry Alliance
487	American Resort Development Association
488	California Wood Industries Coalition
489	Indoor Tanning Association
490	San Ramon Unified School District
491	Santa Monica Community College District
492	American Civil Liberties Union Foundation Of Southern California
493	Bay Meadows Land Company
494	St. Paul Fire Travelers Companies Inc. & Affiliates
495	Reliant Energy Inc.
496	South Coast Air Quality Management District
497	Clorox Company The
498	Gillette Company The
499	The Sherwin-Williams Company
500	California Chapter American College Of Emergency Physicians
501	FedEx Corporation
502	Fresno County Transportation Authority
504	Visa U.S.A. Inc.
505	Western Plant Health Association
506	Merced Union High School District
507	Association Of Independent California Colleges & Universities (Aiccu)
508	Food & Beverage Association Of San Diego County
509	California Food Policy Advocates
510	California Family Health Council Inc.
511	San Manuel Band Of Mission Indians
512	Santa Ynez Band Of Chumash Indians
513	Tule River Tribe
514	Washoe Tribe Of Nevada & California
515	Soboba Band Of Mission Indians
516	Muse Cordero Chen & Partners
517	Victorian Care Medical Group Inc.
518	California Emergency Foodlink
519	Santa Rosa City Schools
520	Schools For Sound Finance
521	Simi Valley Unified School District
522	State Center Community College District
523	Torrance Unified School District
524	Walnut Valley Unified School District
525	Venture Catalyst Incorporated
526	West Contra Costa Unified School District
527	Health Officers Association Of California
528	Aventis Pharmaceuticals, Inc.
529	Agricultural Council Of California
530	Brightstar Environmental, LLC
531	Beverly Enterprises, Inc.
532	California Association Of College Stores
533	California Automotive Wholesalers' Association
534	California Society Of Dermatology & Dermatological Surgery
535	City Of Coachella
536	Community Health Group
537	GlaxoSmithKline
538	Grant Joint Union High School District
539	Progressive Insurance
540	AstraZeneca Pharmaceuticals LP
541	Purdue Pharma L.P.
542	California Association Of State Hospital Parent Councils For The Retarded (Cash/Pcr)
543	Society Of California Care Home Operatorsinc.
544	Verizon Wireless
545	Amador Regional Sanitation Authority
546	County Of Amador
547	San Mateo County-City/County Association Of Governments
548	League Of Women Voters Of California
549	California Network Of Educational Charters (Canec)
550	Los Angeles, City Of
551	Cellular Telecommunications & Internet Association
552	Advantage Capital Partners
553	SureDeposit, Inc., Including SureDeposit Bond Insurance Agency LLC
554	Takeda Pharmaceuticals America
555	Medco Health Solutions, Inc.
556	Three Valleys Municipal Water District
557	Webmd Corporation
558	Call America
559	Icg Telecom Group
560	California Business Alliance
561	Sage Telecom
562	Tmc Communications
563	Rubber Manufacturers Association
564	Transamerica Corporation
565	The Redevelopment Agency Of The City Of Santa Barbara
566	Kaiser Eagle Mountain LLC
567	Los Angeles County Of
568	California Cement Promotion Council
569	California Concrete Contractors Association
570	California Park & Recreation Society
571	Cemex California Cement LLC
572	Affinity Group, Inc.
573	Desert Hot Springs City Of
574	Manning, Selvage & Lee, Public Relations
575	Phoenix Houses Of California
576	Schering-Plough External Affairs
577	Vision Service Plan
